nomor_perkara,tgl_register,klasifikasi,jenis_perkara,metode,hakim,anggota1,anggota2,pp,js,tgl_sidang,tgl_sidang_override,__id
551 Pdt.G,2025-02-03,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",29,,Neneng,Raden Yadi Sumiadi,2025-02-17,0,a7b85387-1ac6-4351-8174-43b389786d82
552 Pdt.G,2025-02-03,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",10,,Syaifurohim,"Khairunas, S.H.I.",2025-06-16,0,9fa0ed66-09c9-48f8-b73d-db808ff99dce
548 Pdt.G,2025-02-03,CT,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.","Drs. Ifdal, S.H.","Ahmad Bisri, S.H., M.H",Nengceu,Sanjaya Langgeng Santoso,2025-02-11,0,034a7965-f09c-4756-a75b-e387bee360e0
553 Pdt.G,2025-02-03,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",8,,Widya,"Ombang Hasyim Ashari, S.Ag.",2025-06-10,0,7870d9ce-5f1f-493f-8866-2cbb2896ace9
598 Pdt.G,2025-02-04,CT,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-02-18,0,9f57d19f-d38f-4c6d-8e7c-13637a574659
605 Pdt.G,2025-02-04,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Neneng,Raden Yadi Sumiadi,2025-02-17,0,06ff0ced-df96-44c3-a448-6273458d55a6
604 Pdt.G,2025-02-04,CT,E-Court,e-court,Drs. H. Syakhrani,,,"Sri Mulyati, S.Ag., M.H.","Khairunas, S.H.I.",2025-02-13,0,0ac7fa96-bc7e-42c9-9da0-ef15ea848655
603 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Endang,"Ombang Hasyim Ashari, S.Ag.",2025-02-13,0,1b09433a-feea-4c86-a7a3-21299bcf467c
599 Pdt.G,2025-02-04,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,Sanjaya Langgeng Santoso,2025-06-10,0,83b1aa31-2db7-4a20-939d-2c165b8341ac
601 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-02-12,0,10839185-5065-4d60-89bb-0a1d86bd92e3
600 Pdt.G,2025-02-04,CT,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,Sabar Kuswanto,2025-02-12,0,2d26c66e-1b94-49f5-b4e6-bf1406b594c3
606 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Syaifurohim,Aji Djuanda Rachmad,2025-02-17,0,9c428dc4-9471-47ce-b211-1c4af2bd5dfc
602 Pdt.G,2025-02-04,Harta Bersama,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,Sanjaya Langgeng Santoso,2025-03-11,0,c6151471-02ae-44f9-a473-5f1b6f7ee0e5
69 Pdt.P,2025-02-04,ISTBAT,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sehudin, S.H.",2025-02-25,0,a6fbb94c-55ef-4fe3-b9e3-c44edd62f44e
617 Pdt.G,2025-02-04,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sehudin, S.H.",2025-02-18,0,4b247c67-48be-4321-8098-a3d9b8c04a96
609 Pdt.G,2025-02-04,CT,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Thahir,Ismail,2025-02-12,0,9b96525b-d37c-4643-94cc-b3f7f98d959c
610 Pdt.G,2025-02-04,CG,E-Court,e-court,Drs. H. Syakhrani,,,Suji,"Khairunas, S.H.I.",2025-02-13,0,5acc7a1e-c291-4614-9e71-b045c605c3e7
611 Pdt.G,2025-02-04,CT,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,Zainal Arifin,2025-02-13,0,440ce8cd-a954-4099-8e5e-349dbb19cc94
612 Pdt.G,2025-02-04,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Rini,"Winahya Vembriarsi, A.Md.",2025-02-17,0,91f20fc0-38b6-42c1-b6d8-4a400c4287d6
613 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Umi Nurulia,2025-02-17,0,1a4a89b8-28e8-4806-a76f-4f2f80924521
614 Pdt.G,2025-02-04,Lain-Lain,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Fahat,"Sri Maryati, A.Md",2025-02-13,0,742ac7b5-9462-4ef6-a012-2b0ffa85393d
615 Pdt.G,2025-02-04,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-02-18,0,dd4ef86d-bc90-430d-9c74-b82d88112ce1
616 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-02-18,0,253beda0-b2e9-4499-b730-e117ee5b89c4
70 Pdt.P,2025-02-04,Perwalian,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,Sabar Kuswanto,2025-02-12,0,7fb18e04-5827-4761-8b01-4f3aef346cb1
597 Pdt.G,2025-02-04,CT,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-02-18,0,8cfae99f-2267-4f43-829a-e4c7fe169493
608 Pdt.G,2025-02-04,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Rina Marlina, SE",2025-02-12,0,af5eb8bf-f58d-40c4-bf50-44536b401410
596 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Umi Nurulia,2025-02-17,0,7ba1e17c-db72-4a98-a14d-9da6f91f3067
607 Pdt.G,2025-02-04,CT,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Alfiah,Sanjaya Langgeng Santoso,2025-02-18,0,6c88b243-abf0-423b-9c30-ae7575fff61c
595 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,Zainal Arifin,2025-02-13,0,bbc12482-2d0d-454a-bec6-8c04f6553c1e
575 Pdt.G,2025-02-04,CG,E-Court,e-court,Drs. H. Syakhrani,,,Suji,Aji Djuanda Rachmad,2025-06-05,0,e3c58c78-4758-4c74-8bb5-18b88785fff3
576 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Endang,"Yuri Ditya Putra Fernanda, A.Md.",2025-06-05,0,9a9adc43-a2ca-496f-8589-6673d17672ef
577 Pdt.G,2025-02-04,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Fahat,"Sri Maryati, A.Md",2025-02-13,0,4128c22c-94c6-4a9e-afe9-2062e283f2ea
578 Pdt.G,2025-02-04,CT,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Rini,"Winahya Vembriarsi, A.Md.",2025-02-17,0,4e8eba40-839a-49df-b470-65a876a275f0
579 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Umi Nurulia,2025-02-17,0,414015b8-1495-48dc-abb4-0ca1f392048b
581 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-02-18,0,e2f9d734-80e9-40f1-a107-76f6c13ffc97
582 Pdt.G,2025-02-04,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Siraj,"Sehudin, S.H.",2025-02-18,0,99d8700d-5e61-4f76-a282-b7b718b20ff3
583 Pdt.G,2025-02-04,CT,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,Sabar Kuswanto,2025-02-12,0,d2090313-fdc7-499f-95da-bb0f339aa996
584 Pdt.G,2025-02-04,CT,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-02-12,0,b45541e0-7cd9-4754-84a8-6c6323fee3a6
585 Pdt.G,2025-02-04,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Fahat,"Sri Maryati, A.Md",2025-02-13,0,b2d006e6-74c0-4dae-a420-071883590c30
580 Pdt.G,2025-02-04,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-02-18,0,e8c6bad7-bc54-459c-affb-9669811e553f
68 Pdt.P,2025-02-04,Asal Usul,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Rini,"Winahya Vembriarsi, A.Md.",2025-02-17,0,535043f7-64c2-4f5e-9f8d-50ad6f76f52a
587 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,"Ombang Hasyim Ashari, S.Ag.",2025-02-20,0,1f44f638-e7f1-4183-89d7-292cfb98b357
588 Pdt.G,2025-02-04,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Neneng,Raden Yadi Sumiadi,2025-02-17,0,0f62f77c-43fb-4738-90b5-596b436661ca
589 Pdt.G,2025-02-04,CT,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Syaifurohim,Sabar Kuswanto,2025-06-16,0,c930fc68-3c54-4d1d-a33c-91d1686c778b
590 Pdt.G,2025-02-04,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,Sanjaya Langgeng Santoso,2025-02-18,0,649ae768-5bc7-4b37-8dba-bdf97960ef29
591 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Alfiah,Sanjaya Langgeng Santoso,2025-02-18,0,99bf63a4-9123-4ed0-adeb-70289fce6df0
67 Pdt.P,2025-02-04,Dispensasi,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sehudin, S.H.",2025-02-18,0,56f05f27-91c6-431a-97e2-6b3bf55ad6e4
592 Pdt.G,2025-02-04,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Rina Marlina, SE",2025-02-12,0,fcbb75dc-7325-48f5-a85c-99142687ff15
593 Pdt.G,2025-02-04,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Thahir,Ismail,2025-02-12,0,569e8c93-e371-47c3-9dac-2f3c8841967a
594 Pdt.G,2025-02-04,CG,E-Court,e-court,Drs. H. Syakhrani,,,Suji,Zainal Arifin,2025-06-05,0,ad2f19e6-98c5-4302-96de-f863af87ac3e
586 Pdt.G,2025-02-04,CT,E-Court,e-court,Drs. H. Syakhrani,,,"Sri Mulyati, S.Ag., M.H.","Khairunas, S.H.I.",2025-02-13,0,f6d0d62b-4423-4673-8aa7-acdd5befc902
633 Pdt.G,2025-02-05,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-02-18,0,20591a60-ec02-44d7-b3a2-8d0bfe5a1a77
71 Pdt.P,2025-02-05,Asal Usul,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Fahat,"Sri Maryati, A.Md",2025-02-13,0,5fc89a8f-1450-4c6f-9ba3-82b512f6f216
634 Pdt.G,2025-02-05,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-02-18,0,5f791484-b51c-4036-ad33-8ff0021f00d2
635 Pdt.G,2025-02-05,CT,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sehudin, S.H.",2025-02-18,0,9b90044a-49e4-43e0-9f88-d04b19b0976d
72 Pdt.P,2025-02-05,PAW,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,Sabar Kuswanto,2025-02-19,0,e4ff5da7-3e8a-4f84-83b3-72f58c903256
73 Pdt.P,2025-02-05,Asal Usul,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,Sanjaya Langgeng Santoso,2025-02-18,0,982e888c-05c9-4613-b6c2-b958796cd477
637 Pdt.G,2025-02-05,CG,E-Court,e-court,Drs. H. Syakhrani,,,"Sri Mulyati, S.Ag., M.H.","Khairunas, S.H.I.",2025-02-13,0,077df227-5127-48e0-8ad0-4cfd1bb5e7e0
638 Pdt.G,2025-02-05,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,"Ombang Hasyim Ashari, S.Ag.",2025-02-13,0,9c3183c5-6714-4a31-9d68-dc06de37cbdb
639 Pdt.G,2025-02-05,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Neneng,Raden Yadi Sumiadi,2025-02-17,0,55844000-4eba-4d79-b79b-8afd2cff6aad
640 Pdt.G,2025-02-05,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Syaifurohim,Aji Djuanda Rachmad,2025-02-17,0,57d67b91-2b95-4a82-b95a-c20670beff3a
632 Pdt.G,2025-02-05,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Umi Nurulia,2025-02-17,0,939e86e3-cce6-44bb-91ce-0f2e02d71b6e
636 Pdt.G,2025-02-05,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-02-19,0,c755bce2-f378-44d6-8202-9bb57cc8d32b
631 Pdt.G,2025-02-05,CT,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Rini,"Winahya Vembriarsi, A.Md.",2025-02-17,0,272622c2-05f9-4fde-b863-4e5a0cb42ed1
625 Pdt.G,2025-02-05,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sehudin, S.H.",2025-02-18,0,55a887a5-726d-4627-ad6c-bb773d99dff8
629 Pdt.G,2025-02-05,ISTBAT,E-Court,e-court,Drs. H. Syakhrani,,,Suji,"Khairunas, S.H.I.",2025-02-27,0,059037b0-f800-4d0c-b7e4-57c9e551898a
630 Pdt.G,2025-02-05,CT,E-Court,e-court,"Drs. Ifdal, S.H.",,,Endang,Zainal Arifin,2025-02-13,0,4ce09f3a-d34b-462f-8100-2b25f545c878
618 Pdt.G,2025-02-05,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-02-19,0,86092f55-9f97-4c1a-b659-7638bf965e46
619 Pdt.G,2025-02-05,CG,E-Court,e-court,Drs. H. Syakhrani,,,"Sri Mulyati, S.Ag., M.H.","Khairunas, S.H.I.",2025-02-13,0,85a15843-1f21-430c-a6e5-4340c2668fde
620 Pdt.G,2025-02-05,CT,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,"Ombang Hasyim Ashari, S.Ag.",2025-02-13,0,79bade92-71cb-4f58-84ac-6d5d9efbcb86
622 Pdt.G,2025-02-05,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Syaifurohim,Aji Djuanda Rachmad,2025-02-17,0,98e6d0e7-9abd-4ffe-a481-76bd7a1d8fd2
621 Pdt.G,2025-02-05,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Neneng,Raden Yadi Sumiadi,2025-02-17,0,edfa8c19-e34d-4fe6-9b42-601f562e8197
624 Pdt.G,2025-02-05,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Alfiah,Sanjaya Langgeng Santoso,2025-02-18,0,da653971-68bb-462e-a6b1-ec81aaf5c798
626 Pdt.G,2025-02-05,CT,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Rina Marlina, SE",2025-02-19,0,2173ad1b-8b99-4d1f-8ac6-1aa628351239
627 Pdt.G,2025-02-05,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Thahir,Ismail,2025-02-19,0,3ca427dd-51b8-47de-8450-f83d54e83cba
628 Pdt.G,2025-02-05,CT,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Fahat,"Sri Maryati, A.Md",2025-02-13,0,3a5c2435-821e-4a18-a9dd-5f663dae53f4
623 Pdt.G,2025-02-05,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,Sanjaya Langgeng Santoso,2025-02-18,0,a239ac59-191b-4a54-ba98-dcce4a65629e
658 Pdt.G,2025-02-06,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,"Ombang Hasyim Ashari, S.Ag.",2025-02-20,0,925ffe21-a3ad-45f1-92c9-1b9409d2999d
655 Pdt.G,2025-02-06,CG,E-Court,e-court,"Suryadi, S.Ag., S.H., M.H.",,,Hisni,"Irvan Riditya Fauzi, A.Md.",2025-02-19,0,f053f066-0bf7-48af-82e8-efc77e5a24f9
665 Pdt.G,2025-02-06,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Thahir,Ismail,2025-02-19,0,0e91074f-22f8-4631-9e00-a4409ce783e2
657 Pdt.G,2025-02-06,CG,E-Court,e-court,Drs. H. Syakhrani,,,"Sri Mulyati, S.Ag., M.H.","Khairunas, S.H.I.",2025-02-20,0,5097e8bd-2013-4320-967c-4b58bc95469e
659 Pdt.G,2025-02-06,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Neneng,Raden Yadi Sumiadi,2025-02-17,0,aa5d7da2-b791-467a-9a82-bf746cd0bd60
645 Pdt.G,2025-02-06,Lain-Lain,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-02-18,0,9a328fba-0a9d-4e6a-947f-c97eef164eb1
661 Pdt.G,2025-02-06,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,Sanjaya Langgeng Santoso,2025-02-18,0,8fb9a8e8-5d34-4290-b60e-1b1085ef2956
662 Pdt.G,2025-02-06,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Alfiah,Sanjaya Langgeng Santoso,2025-02-18,0,28fdeea9-1ac4-42d5-a212-a322f3754c1e
663 Pdt.G,2025-02-06,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sehudin, S.H.",2025-02-18,0,95ed2637-1fe6-4be5-95cd-a4b63af29b71
664 Pdt.G,2025-02-06,Poligami,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Rina Marlina, SE",2025-02-19,0,56f25155-5a4d-4d45-a22a-017e5d873be7
654 Pdt.G,2025-02-06,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-02-19,0,371f616a-0a2a-40c4-ad38-465f3012d94d
660 Pdt.G,2025-02-06,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Syaifurohim,Aji Djuanda Rachmad,2025-02-17,0,f340f6c4-67db-40d8-9a02-cc33b2224c6a
653 Pdt.G,2025-02-06,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,Sabar Kuswanto,2025-02-19,0,a1e60ac2-7d32-4e6b-b9e6-29fb97128f4d
656 Pdt.G,2025-02-06,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Fahat,"Sri Maryati, A.Md",2025-02-20,0,79a92b70-4e2c-49e1-a2da-cac61d87cf95
651 Pdt.G,2025-02-06,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Sanjaya Langgeng Santoso,2025-02-18,0,e7329b3b-8830-4507-abed-915cb78fa4dd
652 Pdt.G,2025-02-06,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Siraj,"Sehudin, S.H.",2025-03-04,0,17c5d2a3-0d1f-4488-b60d-a6df40e337ee
642 Pdt.G,2025-02-06,CT,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Alfiah,Sanjaya Langgeng Santoso,2025-02-18,0,8d3f27ad-bb08-47aa-8358-37287f5659a2
643 Pdt.G,2025-02-06,CT,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sehudin, S.H.",2025-02-18,0,157d15bf-e327-47d5-a194-65b152f06905
644 Pdt.G,2025-02-06,CT,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Rina Marlina, SE",2025-02-19,0,3cfa9ab0-ef7b-4c5d-80e1-ea22d3acbaa0
74 Pdt.P,2025-02-06,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Thahir,Ismail,2025-02-19,0,6eea3f46-e224-4401-a02f-c23b15400e38
641 Pdt.G,2025-02-06,CG,E-Court,e-court,"Suryadi, S.Ag., S.H., M.H.",,,Hisni,"Irvan Riditya Fauzi, A.Md.",2025-06-11,0,8300ea74-fd11-4e5f-95ce-32fdb4ab4ddd
647 Pdt.G,2025-02-06,ISTBAT,E-Court,e-court,Drs. H. Syakhrani,,,Suji,"Khairunas, S.H.I.",2025-02-27,0,4bfb1f73-00cf-40bb-8c45-c7ddd4365988
75 Pdt.P,2025-02-06,PAW,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,Zainal Arifin,2025-02-20,0,c9d2b3c7-7e04-4b03-8f40-614d4831203d
648 Pdt.G,2025-02-06,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Rini,"Winahya Vembriarsi, A.Md.",2025-02-17,0,3efdf939-b6d0-4080-8d13-3f98c2c90da8
649 Pdt.G,2025-02-06,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Umi Nurulia,2025-02-17,0,61a08611-b431-41f0-b0a8-c6a8ed8242d8
650 Pdt.G,2025-02-06,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-02-18,0,0444e9df-305c-47f6-877f-88e89bc5f7bb
646 Pdt.G,2025-02-06,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Fahat,"Sri Maryati, A.Md",2025-02-20,0,db01d2d0-8c5c-47a1-9f20-53d83ad141a6
675 Pdt.G,2025-02-07,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Endang,"Ombang Hasyim Ashari, S.Ag.",2025-02-20,0,e058a4df-7322-44b7-a570-2825dac3f8ea
683 Pdt.G,2025-02-07,CG,E-Court,e-court,Drs. H. Syakhrani,,,Suji,"Khairunas, S.H.I.",2025-02-20,0,f980070b-5847-4b22-8da6-43752224c4c7
681 Pdt.G,2025-02-07,CT,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Rina Marlina, SE",2025-02-19,0,ae289624-30f3-4be2-803f-a0de763db986
79 Pdt.P,2025-02-07,Dispensasi,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sehudin, S.H.",2025-02-18,0,43233a3f-2c43-48d3-ba17-f711f173efe3
680 Pdt.G,2025-02-07,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Alfiah,Sanjaya Langgeng Santoso,2025-02-18,0,ca97601c-aaf8-46cc-8ec1-8488b65e3701
679 Pdt.G,2025-02-07,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Widya,Sanjaya Langgeng Santoso,2025-02-18,0,41677133-3cd1-4d99-87a2-820bebe73ffb
678 Pdt.P,2025-08-29,PAW,Biasa,E-Court,Drs. H. Syakhrani,"Drs. Zaenal Musthofa, S.H., M.H.","Idawati, S.Ag., M.H.","Sri Mulyati, S.Ag., M.H.","Ombang Hasyim Ashari, S.Ag.",2025-09-11,0,7b29ca70-47b6-4660-ad4f-2a3401a92749
677 Pdt.G,2025-02-07,WARIS,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Aji Djuanda Rachmad,2025-02-17,0,b73c908a-e518-4ba0-b662-372dde758cf0
676 Pdt.G,2025-02-07,Harta Bersama,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,Zainal Arifin,2025-02-20,0,0ce5dc79-7dae-4c46-8070-d77ce909c0ff
78 Pdt.P,2025-02-07,CG,E-Court,e-court,Drs. H. Syakhrani,,,"Sri Mulyati, S.Ag., M.H.","Khairunas, S.H.I.",2025-02-20,0,02f77a24-a2c7-439e-ba6f-d80925321ec0
682 Pdt.G,2025-02-07,CT,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Thahir,Ismail,2025-02-19,0,a971213d-a0c3-4bed-8f1b-117e4e2f373d
673 Pdt.G,2025-02-07,CG,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-02-19,0,af0c8eb7-65ef-44fc-8489-3bf0e6b14a26
672 Pdt.G,2025-02-07,CG,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Nurholia,Sabar Kuswanto,2025-02-19,0,c8b86f7d-d44c-4934-bb58-1f688a36811b
671 Pdt.G,2025-02-07,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sehudin, S.H.",2025-02-18,0,0ae25ff0-3062-4918-83b5-86612f4b758f
670 Pdt.G,2025-02-07,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-02-18,0,08b1ce03-a686-49b1-bdd8-c856d25565b7
669 Pdt.G,2025-02-07,Mafqud,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Umi Nurulia,2025-08-11,0,908269da-867f-4bd9-8831-1c1be781cca0
668 Pdt.G,2025-02-07,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Rini,"Winahya Vembriarsi, A.Md.",2025-02-17,0,da597a7c-2ce2-4a90-9e59-3a69e8c73497
77 Pdt.P,2025-02-07,PAW,E-Court,e-court,Drs. H. Syakhrani,,,Suji,"Khairunas, S.H.I.",2025-02-20,0,48df6061-0341-4af0-a6a3-7608f35bc098
76 Pdt.P,2025-02-07,ISTBAT,E-Court,e-court,"Drs. Ifdal, S.H.",,,Endang,Zainal Arifin,2025-03-06,0,92e33e85-f3bb-4059-8835-7c1cab9c8861
667 Pdt.G,2025-02-07,CG,E-Court,e-court,"Suryadi, S.Ag., S.H., M.H.",,,Hisni,"Irvan Riditya Fauzi, A.Md.",2025-02-19,0,3683af04-92a0-41c2-817e-eb32654a8efe
666 Pdt.G,2025-02-07,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Fahat,"Sri Maryati, A.Md",2025-02-20,0,9d3839b4-b047-4c51-94d1-f4f0d3307832
674 Pdt.G,2025-02-07,CG,E-Court,e-court,"Dr. H. Abdul Majid, S.H.I., M.H.",,,Fahat,"Sri Maryati, A.Md",2025-02-20,0,444e1151-88ce-4372-8851-493cf596aad9
688 Pdt.G,2025-02-10,CG,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Nengceu,Ismail,2025-06-17,0,93b7602a-d1be-4771-94ec-e88a3f296361
686 Pdt.G,2025-02-10,CT,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Ikbal,Umi Nurulia,2025-02-24,0,313d365c-6673-49ab-9fcf-1ecad6208042
687 Pdt.G,2025-02-10,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-02-18,0,088e52ce-9142-4791-ae2f-4b2be11f2c51
684 Pdt.G,2025-02-10,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,"Ombang Hasyim Ashari, S.Ag.",2025-02-20,0,0a0e7ae4-553b-404c-863a-f18d5ced4249
